url,name,asin,image,price,isPrime,offer,customerReview,customerReviewCount
https://www.amazon.com/70mai-Camera-Wide-Angle-Vision-Android/dp/B09P14VT3C/ref=sr_1_17?keywords=dashcam&qid=1708143504&sr=8-17,"70mai Dash Cam M300, 1296P QHD, Built in WiFi Smart Dash Camera for Cars, 140Â° Wide-Angle FOV, WDR, Night Vision, iOS/Android Mobile App",B09P14VT3C,https://m.media-amazon.com/images/I/61oNFhKrRsL._AC_UY218_.jpg,$39.99,True,,4.0 out of 5 stars,9800
https://www.amazon.com/Veement-Display-170%C2%B0Wide-G-Sensor-Recording/dp/B0CP81HLQY/ref=sr_1_18?keywords=dashcam&qid=1708143504&sr=8-18,"Dash Cam Front and Rear, Veement S80 4k+1080P Dual Dash Camera for Cars, WiFi Mini Car Camera,1.47â Display Dashcam,170Â°Wide, Night Vision,24H Parking Mode, G-Sensor,Loop Recording, Free 32G Card, App",B0CP81HLQY,https://m.media-amazon.com/images/I/71YlPGm8DvL._AC_UY218_.jpg,$129.99,True,,5.0 out of 5 stars,98
https://www.amazon.com/Garmin-140-degree-Monitor-Connected-Features/dp/B0931YZ82P/ref=sr_1_19?keywords=dashcam&qid=1708143504&sr=8-19,"Garmin 010-02504-00 Dash Cam Mini 2, Tiny Size, 1080p and 140-degree FOV, Monitor Your Vehicle While Away w/ New Connected Features, Voice Control, Black",B0931YZ82P,https://m.media-amazon.com/images/I/71IgOp+tVFS._AC_UY218_.jpg,$129.00,True,,4.2 out of 5 stars,5272
https://www.amazon.com/SPADE-Channel-Inside-Camera-Parking/dp/B0C23D3KBM/ref=sr_1_20?keywords=dashcam&qid=1708143504&sr=8-20,"3 Channel Dash Cam Front and Rear Inside, 1080P Full HD Dash Camera for Cars with 32GB SD Card, 170Â° Wide Angle, 3.16âIPS Screen, Night Vision, WDR, 24H Parking Mode Front and Back Dashcam",B0C23D3KBM,https://m.media-amazon.com/images/I/71JK4b6-zqL._AC_UY218_.jpg,$68.99,True,,4.2 out of 5 stars,198
https://www.amazon.com/Camera-Built-170%C2%B0Wide-Parking-Recording/dp/B0CB5JJWMY/ref=sr_1_21?keywords=dashcam&qid=1708143504&sr=8-21,"Dash Camera for Cars,4K Full UHD Car Camera Front Rear with Free 32GB SD Card,Built-in Super Night Vision,2.0'' IPS Screen,170Â°Wide Angle,WDR,Loop Recording, 24H Parking Mode",B0CB5JJWMY,https://m.media-amazon.com/images/I/71gbJnbGY5L._AC_UY218_.jpg,$59.99,True,,4.2 out of 5 stars,1001
https://www.amazon.com/70mai-Parking-Recording-Android-Control/dp/B0CLTXXDWK/ref=sr_1_22?keywords=dashcam&qid=1708143504&sr=8-22,"70mai True 4K Dash Cam A800S with Sony IMX415, Front and Rear, Free 128GB SD Card, Built in GPS, Super Night Vision, 3'' IPS LCD, Parking Mode, ADAS, Loop Recording, iOS/Android App Control",B0CLTXXDWK,https://m.media-amazon.com/images/I/81YocarX3BL._AC_UY218_.jpg,$159.99,True,,4.3 out of 5 stars,831
https://www.amazon.com/Camera-Recording-Parking-Monitor-Support/dp/B0CNRFV7CJ/ref=sr_1_23?keywords=dashcam&qid=1708143504&sr=8-23,"Dash Cam, WiFi FHD 1080P Dash Camera for Cars, Mini Car Camera, Dash Cam Front with Free 64GB SD Card, 160Â° Wide Angle, Night Vision, Loop Recording, 24H Parking Monitor, Support 128GB Max",B0CNRFV7CJ,https://m.media-amazon.com/images/I/71T5I7PtmvL._AC_UY218_.jpg,$39.94,True,,4.6 out of 5 stars,215
https://www.amazon.com/Camera-Otovoda-Dashboard-Parking-Monitor/dp/B0C85F21JR/ref=sr_1_24?keywords=dashcam&qid=1708143504&sr=8-24,"Dash Cam Front and Rear Camera, Otovoda 3Inch Screen WiFi Dash cam, 2.5K+1080P Dash Camera for Cars, Dashboard Camera with Free 64GB SD Card, Type-C Port, Parking Monitor, Super Night Vision",B0C85F21JR,https://m.media-amazon.com/images/I/715VcXDZX7L._AC_UY218_.jpg,$79.99,True,,4.7 out of 5 stars,1254
https://www.amazon.com/P1-Duo-Display-Dashcam-G-Sensor/dp/B0C3DC4FRR/ref=sr_1_25?keywords=dashcam&qid=1708143504&sr=8-25,"Dash Cam Front and Rear, 4K Single Front Dash Camera, 2K/1080P Dual Car Camera for Cars, Built-in Wi-Fi,1.5â IPS Display Mini Dashcam,Night Vision,Voice Control,24H Parking Mode,G-Sensor,P1 Duo",B0C3DC4FRR,https://m.media-amazon.com/images/I/81vHFwUaMrL._AC_UY218_.jpg,$89.99,True,,4.5 out of 5 stars,777
https://www.amazon.com/Dash-Cam-Front-BOOGIIO-Dashboard/dp/B08LZJ8GMH/ref=sr_1_26?keywords=dashcam&qid=1708143504&sr=8-26,"Dash Cam Front with 32G SD Card, BOOGIIO 1080P FHD Car Driving Recorder 3'' IPS Screen 170Â°Wide Angle Dashboard Camera Aluminum Alloy Case, WDR G-Sensor Parking Monitor Loop Recording Motion Detection",B08LZJ8GMH,https://m.media-amazon.com/images/I/71fgxr2H7EL._AC_UY218_.jpg,$30.69,True,,4.2 out of 5 stars,4478
